Vardas     Pavarde     ND1  ND2  ND3  ND4  ND5  Egzaminas
Vardas1     Pavarde1     2  10  8  3  6  3
Vardas2     Pavarde2     6  10  1  1  1  9
Vardas3     Pavarde3     8  2  4  1  4  1
Vardas4     Pavarde4     7  6  10  10  10  5
Vardas5     Pavarde5     3  4  6  10  2  1
Vardas6     Pavarde6     4  3  3  9  2  4
Vardas7     Pavarde7     5  6  2  6  3  9
Vardas8     Pavarde8     3  5  3  3  3  8
Vardas9     Pavarde9     7  10  9  7  1  10
Vardas10     Pavarde10     7  4  2  6  4  4
Vardas11     Pavarde11     3  1  1  7  10  1
Vardas12     Pavarde12     10  10  5  3  10  1
Vardas13     Pavarde13     3  4  7  10  9  5
Vardas14     Pavarde14     1  10  10  1  1  5
Vardas15     Pavarde15     9  8  7  9  4  8
Vardas16     Pavarde16     5  1  4  6  6  7
Vardas17     Pavarde17     8  7  3  2  4  2
Vardas18     Pavarde18     6  9  4  9  3  4
Vardas19     Pavarde19     7  6  10  9  2  7
Vardas20     Pavarde20     3  5  8  1  6  5
Vardas21     Pavarde21     4  9  10  9  5  6
Vardas22     Pavarde22     7  5  4  10  3  2
Vardas23     Pavarde23     3  2  1  2  2  4
Vardas24     Pavarde24     5  3  6  10  9  2
Vardas25     Pavarde25     10  3  8  5  9  2
Vardas26     Pavarde26     7  10  5  10  9  5
Vardas27     Pavarde27     7  2  7  2  3  4
Vardas28     Pavarde28     7  4  2  6  9  3
Vardas29     Pavarde29     10  10  5  3  8  9
Vardas30     Pavarde30     6  3  1  10  6  8
Vardas31     Pavarde31     9  1  6  6  6  8
Vardas32     Pavarde32     4  4  10  9  4  4
Vardas33     Pavarde33     4  9  7  3  6  4
Vardas34     Pavarde34     3  6  4  10  1  3
Vardas35     Pavarde35     2  10  8  10  8  10
Vardas36     Pavarde36     10  4  9  7  2  3
Vardas37     Pavarde37     7  7  9  9  1  6
Vardas38     Pavarde38     8  2  3  6  8  8
Vardas39     Pavarde39     3  1  9  5  1  2
Vardas40     Pavarde40     9  3  2  1  10  6
Vardas41     Pavarde41     6  5  5  7  8  6
Vardas42     Pavarde42     5  2  9  1  3  4
Vardas43     Pavarde43     9  5  7  2  7  8
Vardas44     Pavarde44     2  8  8  8  5  1
Vardas45     Pavarde45     6  7  9  1  9  6
Vardas46     Pavarde46     4  1  10  6  9  8
Vardas47     Pavarde47     9  3  3  7  6  3
Vardas48     Pavarde48     6  9  7  6  3  6
Vardas49     Pavarde49     1  9  1  3  8  7
Vardas50     Pavarde50     7  1  8  4  8  5
Vardas51     Pavarde51     7  7  2  8  10  2
Vardas52     Pavarde52     4  3  1  7  4  6
Vardas53     Pavarde53     9  8  3  5  4  8
Vardas54     Pavarde54     2  9  10  4  1  1
Vardas55     Pavarde55     4  7  7  9  6  9
Vardas56     Pavarde56     4  2  9  5  3  7
Vardas57     Pavarde57     9  7  4  9  4  10
Vardas58     Pavarde58     1  4  2  8  9  7
Vardas59     Pavarde59     2  8  8  7  7  2
Vardas60     Pavarde60     6  2  1  1  6  7
Vardas61     Pavarde61     8  1  4  6  4  10
Vardas62     Pavarde62     4  4  7  7  9  8
Vardas63     Pavarde63     1  1  4  10  10  10
Vardas64     Pavarde64     2  10  6  1  10  2
Vardas65     Pavarde65     7  9  5  8  10  5
Vardas66     Pavarde66     8  4  1  10  7  5
Vardas67     Pavarde67     1  2  9  6  4  3
Vardas68     Pavarde68     6  4  1  10  8  10
Vardas69     Pavarde69     10  5  10  2  8  9
Vardas70     Pavarde70     10  3  5  2  3  8
Vardas71     Pavarde71     2  10  6  4  2  1
Vardas72     Pavarde72     7  7  3  1  5  3
Vardas73     Pavarde73     7  5  3  8  1  8
Vardas74     Pavarde74     9  8  4  3  1  1
