Pavarde     Vardas      Galutinis (Vid.)    
-----------------------------------------------
Pavarde1    Vardas1     4.12                
Pavarde3    Vardas3     2.12                
Pavarde5    Vardas5     2.60                
Pavarde6    Vardas6     4.08                
Pavarde10   Vardas10    4.24                
Pavarde11   Vardas11    2.36                
Pavarde12   Vardas12    3.64                
Pavarde14   Vardas14    4.84                
Pavarde17   Vardas17    3.12                
Pavarde18   Vardas18    4.88                
Pavarde20   Vardas20    4.84                
Pavarde22   Vardas22    3.52                
Pavarde23   Vardas23    3.20                
Pavarde24   Vardas24    3.84                
Pavarde25   Vardas25    4.00                
Pavarde27   Vardas27    4.08                
Pavarde28   Vardas28    4.04                
Pavarde32   Vardas32    4.88                
Pavarde33   Vardas33    4.72                
Pavarde34   Vardas34    3.72                
Pavarde36   Vardas36    4.36                
Pavarde39   Vardas39    2.72                
Pavarde42   Vardas42    4.00                
Pavarde44   Vardas44    3.08                
Pavarde47   Vardas47    4.04                
Pavarde51   Vardas51    3.92                
Pavarde54   Vardas54    2.68                
Pavarde59   Vardas59    3.76                
Pavarde64   Vardas64    3.52                
Pavarde67   Vardas67    3.56                
Pavarde71   Vardas71    2.52                
Pavarde72   Vardas72    3.64                
Pavarde74   Vardas74    2.60                
Pavarde75   Vardas75    3.88                
Pavarde76   Vardas76    3.08                
Pavarde77   Vardas77    4.64                
Pavarde79   Vardas79    2.28                
Pavarde84   Vardas84    4.64                
Pavarde86   Vardas86    3.04                
Pavarde88   Vardas88    2.28                
Pavarde94   Vardas94    4.84                
Pavarde97   Vardas97    4.12                
Pavarde100  Vardas100   2.80                
Pavarde101  Vardas101   3.28                
Pavarde102  Vardas102   3.16                
Pavarde104  Vardas104   3.92                
Pavarde105  Vardas105   4.52                
Pavarde108  Vardas108   2.76                
Pavarde109  Vardas109   2.88                
Pavarde112  Vardas112   2.72                
Pavarde113  Vardas113   4.28                
Pavarde116  Vardas116   4.36                
Pavarde118  Vardas118   4.20                
Pavarde120  Vardas120   3.12                
Pavarde121  Vardas121   2.60                
Pavarde125  Vardas125   3.16                
Pavarde127  Vardas127   3.72                
Pavarde128  Vardas128   3.80                
Pavarde130  Vardas130   3.56                
Pavarde131  Vardas131   3.16                
Pavarde132  Vardas132   3.28                
Pavarde133  Vardas133   2.72                
Pavarde135  Vardas135   4.76                
Pavarde136  Vardas136   3.64                
Pavarde138  Vardas138   4.56                
Pavarde140  Vardas140   3.44                
Pavarde144  Vardas144   2.36                
Pavarde146  Vardas146   3.84                
Pavarde148  Vardas148   2.68                
Pavarde156  Vardas156   4.24                
Pavarde158  Vardas158   3.76                
Pavarde160  Vardas160   4.60                
Pavarde161  Vardas161   4.52                
Pavarde163  Vardas163   4.56                
Pavarde165  Vardas165   2.96                
Pavarde168  Vardas168   4.44                
Pavarde171  Vardas171   4.80                
Pavarde173  Vardas173   2.68                
Pavarde176  Vardas176   4.64                
Pavarde177  Vardas177   3.28                
Pavarde178  Vardas178   2.80                
Pavarde179  Vardas179   4.36                
Pavarde180  Vardas180   4.32                
Pavarde181  Vardas181   2.84                
Pavarde183  Vardas183   4.96                
Pavarde184  Vardas184   4.88                
Pavarde185  Vardas185   3.12                
Pavarde187  Vardas187   4.64                
Pavarde190  Vardas190   3.60                
Pavarde191  Vardas191   3.52                
Pavarde197  Vardas197   4.88                
