Pavarde     Vardas      Galutinis (Vid.)    
-----------------------------------------------
Pavarde2    Vardas2     6.92                
Pavarde4    Vardas4     6.44                
Pavarde7    Vardas7     7.16                
Pavarde8    Vardas8     6.16                
Pavarde9    Vardas9     8.72                
Pavarde13   Vardas13    5.64                
Pavarde15   Vardas15    7.76                
Pavarde16   Vardas16    5.96                
Pavarde19   Vardas19    6.92                
Pavarde21   Vardas21    6.56                
Pavarde26   Vardas26    6.28                
Pavarde29   Vardas29    8.28                
Pavarde30   Vardas30    6.88                
Pavarde31   Vardas31    7.04                
Pavarde35   Vardas35    9.04                
Pavarde37   Vardas37    6.24                
Pavarde38   Vardas38    6.96                
Pavarde40   Vardas40    5.60                
Pavarde41   Vardas41    6.08                
Pavarde43   Vardas43    7.20                
Pavarde45   Vardas45    6.16                
Pavarde46   Vardas46    7.20                
Pavarde48   Vardas48    6.08                
Pavarde49   Vardas49    5.96                
Pavarde50   Vardas50    5.24                
Pavarde52   Vardas52    5.12                
Pavarde53   Vardas53    7.12                
Pavarde55   Vardas55    8.04                
Pavarde56   Vardas56    6.04                
Pavarde57   Vardas57    8.64                
Pavarde58   Vardas58    6.12                
Pavarde60   Vardas60    5.48                
Pavarde61   Vardas61    7.84                
Pavarde62   Vardas62    7.28                
Pavarde63   Vardas63    8.08                
Pavarde65   Vardas65    6.12                
Pavarde66   Vardas66    5.40                
Pavarde68   Vardas68    8.32                
Pavarde69   Vardas69    8.20                
Pavarde70   Vardas70    6.64                
Pavarde73   Vardas73    6.72                
Pavarde78   Vardas78    8.00                
Pavarde80   Vardas80    8.36                
Pavarde81   Vardas81    8.40                
Pavarde82   Vardas82    6.68                
Pavarde83   Vardas83    5.16                
Pavarde85   Vardas85    6.92                
Pavarde87   Vardas87    7.72                
Pavarde89   Vardas89    7.40                
Pavarde90   Vardas90    7.12                
Pavarde91   Vardas91    7.24                
Pavarde92   Vardas92    5.60                
Pavarde93   Vardas93    6.40                
Pavarde95   Vardas95    5.04                
Pavarde96   Vardas96    5.56                
Pavarde98   Vardas98    8.28                
